Bananas,Mashed Bananas (g),All-Purpose Flour (g),Sugar (g),Melted Butter/Oil (g),Eggs (whole),Baking Soda (g),Salt (g),Vanilla Extract (ml)
1,120,60,50,28,0.5,1.5,0.75,1.25
2,240,120,100,56,1.0,3.0,1.5,2.5
3,360,180,150,84,1.5,4.5,2.25,3.75
4,480,240,200,112,2.0,6.0,3.0,5.0
5,600,300,250,140,2.5,7.5,3.75,6.25
6,720,360,300,168,3.0,9.0,4.5,7.5
7,840,420,350,196,3.5,10.5,5.25,8.75
8,960,480,400,224,4.0,12.0,6.0,10.0
9,1080,540,450,252,4.5,13.5,6.75,11.25
10,1200,600,500,280,5.0,15.0,7.5,12.5
11,1320,660,550,308,5.5,16.5,8.25,13.75
12,1440,720,600,336,6.0,18.0,9.0,15.0
13,1560,780,650,364,6.5,19.5,9.75,16.25
14,1680,840,700,392,7.0,21.0,10.5,17.5
15,1800,900,750,420,7.5,22.5,11.25,18.75
16,1920,960,800,448,8.0,24.0,12.0,20.0
17,2040,1020,850,476,8.5,25.5,12.75,21.25
18,2160,1080,900,504,9.0,27.0,13.5,22.5
19,2280,1140,950,532,9.5,28.5,14.25,23.75
20,2400,1200,1000,560,10.0,30.0,15.0,25.0
21,2520,1260,1050,588,10.5,31.5,15.75,26.25
22,2640,1320,1100,616,11.0,33.0,16.5,27.5
23,2760,1380,1150,644,11.5,34.5,17.25,28.75
24,2880,1440,1200,672,12.0,36.0,18.0,30.0
25,3000,1500,1250,700,12.5,37.5,18.75,31.25
26,3120,1560,1300,728,13.0,39.0,19.5,32.5
27,3240,1620,1350,756,13.5,40.5,20.25,33.75
28,3360,1680,1400,784,14.0,42.0,21.0,35.0
29,3480,1740,1450,812,14.5,43.5,21.75,36.25
30,3600,1800,1500,840,15.0,45.0,22.5,37.5
31,3720,1860,1550,868,15.5,46.5,23.25,38.75
32,3840,1920,1600,896,16.0,48.0,24.0,40.0
33,3960,1980,1650,924,16.5,49.5,24.75,41.25
34,4080,2040,1700,952,17.0,51.0,25.5,42.5
35,4200,2100,1750,980,17.5,52.5,26.25,43.75
36,4320,2160,1800,1008,18.0,54.0,27.0,45.0
37,4440,2220,1850,1036,18.5,55.5,27.75,46.25
38,4560,2280,1900,1064,19.0,57.0,28.5,47.5
39,4680,2340,1950,1092,19.5,58.5,29.25,48.75
40,4800,2400,2000,1120,20.0,60.0,30.0,50.0
